OID_,OBJECTID_1,OBJECTID,SignUp,Line,LineName,DirNum,Direction,StopID,StopName,Sequence,Lat,Lon
19,20,20,2011 August,12A,Miller/Liberty,0,Loop,1605.000000000000000,W- S Maple south of Jackson Rd.,20,42.279981999999997,-83.780410000000003
20,21,21,2011 August,12A,Miller/Liberty,0,Loop,2443.000000000000000,W- S Maple at Krogers,21,42.277416000000002,-83.780231000000001
21,22,22,2011 August,12A,Miller/Liberty,0,Loop,2421.000000000000000,S- W Liberty E of S Maple,22,42.273519999999998,-83.779428999999993
22,23,23,2011 August,12A,Miller/Liberty,0,Loop,1606.000000000000000,S- W Liberty east of W.Stadium,23,42.274330999999997,-83.775566999999995
23,24,24,2011 August,12A,Miller/Liberty,0,Loop,1607.000000000000000,S- W Liberty west of Dartmore,24,42.275120999999999,-83.771957999999998
24,25,25,2011 August,12A,Miller/Liberty,0,Loop,1608.000000000000000,S- W Liberty east of Ridgemoor,25,42.276347999999999,-83.766076999999996
25,26,26,2011 August,12A,Miller/Liberty,0,Loop,1609.000000000000000,S- W Liberty east of Soule,26,42.276828999999999,-83.763920999999996
26,27,27,2011 August,12A,Miller/Liberty,0,Loop,1610.000000000000000,S- W Liberty east of Eberwhite,27,42.277334000000003,-83.761516000000000
27,28,28,2011 August,12A,Miller/Liberty,0,Loop,1611.000000000000000,S-W Liberty east of Seventh St.,28,42.278016000000001,-83.758054000000001
28,29,29,2011 August,12A,Miller/Liberty,0,Loop,1612.000000000000000,S- W Liberty east of Fifth St.,29,42.278455999999998,-83.755742999999995
29,30,30,2011 August,12A,Miller/Liberty,0,Loop,1613.000000000000000,S- W Liberty at Third St.,30,42.278838000000000,-83.754007000000001
30,31,31,2011 August,12A,Miller/Liberty,0,Loop,2068.000000000000000,S- W Liberty west of Railroad Track,31,42.279299999999999,-83.751682000000002
31,32,32,2011 August,12A,Miller/Liberty,0,Loop,2677.000000000000000,S - William West of Main,32,42.277940999999998,-83.749443999999997
32,33,33,2011 August,12A,Miller/Liberty,0,Loop,2016.000000000000000,Blake Transit Center,33,42.278421999999999,-83.747260999999995
33,34,34,2011 August,12B,Liberty-Miller,0,Loop,998.120000000000005,BTC - 4th Ave (12s),1,42.278455999999998,-83.747353000000004
34,35,35,2011 August,12B,Liberty-Miller,0,Loop,1614.000000000000000,N- W Liberty at Rail Road Tracks,2,42.279505999999998,-83.751248000000004
35,36,36,2011 August,12B,Liberty-Miller,0,Loop,1615.000000000000000,N- W Liberty at Third St.,3,42.278905000000002,-83.754034000000004
36,37,37,2011 August,12B,Liberty-Miller,0,Loop,1616.000000000000000,N- W Liberty opp Fifth St.,4,42.278500000000001,-83.755990999999995
37,38,38,2011 August,12B,Liberty-Miller,0,Loop,1617.000000000000000,N- W Liberty at Eighth,5,42.277757999999999,-83.759621999999993
38,39,39,2011 August,12B,Liberty-Miller,0,Loop,1618.000000000000000,N- W Liberty opp Eberwhite S,6,42.277310000000000,-83.761819000000003
39,40,40,2011 August,12B,Liberty-Miller,0,Loop,1619.000000000000000,N- W Liberty opp Soule Blvd,7,42.276840999999997,-83.764116999999999
40,41,41,2011 August,12B,Liberty-Miller,0,Loop,1620.000000000000000,N- W Liberty west of Virginia,8,42.276285000000001,-83.766726000000006
41,42,42,2011 August,12B,Liberty-Miller,0,Loop,1621.000000000000000,N- W Liberty west of Dartmoor,9,42.275238000000002,-83.771906000000001
42,43,43,2011 August,12B,Liberty-Miller,0,Loop,2578.000000000000000,N- Liberty east of Burwood,10,42.274569000000000,-83.775131000000002
43,44,44,2011 August,12B,Liberty-Miller,0,Loop,1622.000000000000000,E- W Stadium north of Liberty,11,42.274844000000002,-83.777029999999996
44,45,45,2011 August,12B,Liberty-Miller,0,Loop,1623.000000000000000,E- W Stadium north of Collingwood,12,42.277337000000003,-83.778683000000001
45,46,46,2011 August,12B,Liberty-Miller,0,Loop,1624.000000000000000,E- W Stadium Blvd at Abbot,13,42.279276000000003,-83.780161000000007
46,47,47,2011 August,12B,Liberty-Miller,0,Loop,1625.000000000000000,E- N Maple north of Jackson Rd.,14,42.280932999999997,-83.780209999999997
47,48,48,2011 August,12B,Liberty-Miller,0,Loop,2701.000000000000000,E - N Maple at Maple Village,15,42.282710999999999,-83.780281000000002
48,49,49,2011 August,12B,Liberty-Miller,0,Loop,1626.000000000000000,E- N Maple north of Dexter Rd.,16,42.286720000000003,-83.780427000000003
49,50,50,2011 August,12B,Liberty-Miller,0,Loop,1627.000000000000000,E- N Maple north of Haisley,17,42.289695999999999,-83.780561000000006
50,51,51,2011 August,12B,Liberty-Miller,0,Loop,1628.000000000000000,E- N Maple north of North Circle,18,42.293837000000003,-83.780692999999999
51,52,52,2011 August,12B,Liberty-Miller,0,Loop,1629.000000000000000,S- Miller Ave. opp Franklin St.,19,42.293995000000002,-83.778951000000006
52,53,53,2011 August,12B,Liberty-Miller,0,Loop,1630.000000000000000,S- Miller Ave. east of City Dr.,20,42.292890000000000,-83.776066999999998
53,54,54,2011 August,12B,Liberty-Miller,0,Loop,1631.000000000000000,S- Miller Ave. east of Bruce,21,42.291811000000003,-83.773291999999998
54,55,55,2011 August,12B,Liberty-Miller,0,Loop,1632.000000000000000,S- Miller Ave. opp Saunders Crese,22,42.291117999999997,-83.771491999999995
55,56,56,2011 August,12B,Liberty-Miller,0,Loop,1633.000000000000000,S- Miller Ave. west of Newport Rd.,23,42.289472000000004,-83.767188000000004
56,57,57,2011 August,12B,Liberty-Miller,0,Loop,1665.000000000000000,W- Newport at Sunset,24,42.297607999999997,-83.765878999999998
57,58,58,2011 August,12B,Liberty-Miller,0,Loop,2279.000000000000000,S- Miller Ave. east of Newport Pl.,25,42.288761000000001,-83.765407999999994
58,59,59,2011 August,12B,Liberty-Miller,0,Loop,1634.000000000000000,S- Miller Ave. west of Wesley,26,42.287975000000003,-83.763403999999994
59,60,60,2011 August,12B,Liberty-Miller,0,Loop,1635.000000000000000,S- Miller Ave. west of Arborview,27,42.286731000000003,-83.760150999999993
60,61,61,2011 August,12B,Liberty-Miller,0,Loop,1636.000000000000000,S- Miller Ave. opp Brooks,28,42.285955000000001,-83.758098000000004
61,62,62,2011 August,12B,Liberty-Miller,0,Loop,1637.000000000000000,S- Miller Ave. btw Gott and Ms.,29,42.285279000000003,-83.756459000000007
62,63,63,2011 August,12B,Liberty-Miller,0,Loop,1638.000000000000000,S- Miller Ave. east of Chapin,30,42.283822999999998,-83.752656000000002
63,64,64,2011 August,12B,Liberty-Miller,0,Loop,2677.000000000000000,S - William West of Main,31,42.277940999999998,-83.749443999999997
64,65,65,2011 August,12B,Liberty-Miller,0,Loop,2016.000000000000000,Blake Transit Center,32,42.278421999999999,-83.747260999999995
65,66,66,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2741.000000000000000,BTC West side 4th,1,42.278711999999999,-83.747504000000006
66,67,67,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,1002.000000000000000,E- Division south of Washington,2,42.279924999999999,-83.743902000000006
67,68,68,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2704.000000000000000,E - Division north of Huron,3,42.281543999999997,-83.743717000000004
68,69,69,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,1003.000000000000000,E- Division St n of Catherine St.,4,42.283234000000000,-83.743605000000002
69,70,70,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,1004.000000000000000,E- Division St opposite Detroit St.,5,42.286087000000002,-83.743430000000004
70,71,71,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,1005.000000000000000,S- Broadway St west of Wall St.,6,42.289160000000003,-83.739092999999997
71,72,72,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2532.000000000000000,N - Moore W of Traver Rd,7,42.290250999999998,-83.738701000000006
72,73,73,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2559.000000000000000,E- Pontiac Trail at Bowen,8,42.291932000000003,-83.738943000000006
73,74,74,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2561.000000000000000,E - Pontiac Tr N of Apple,9,42.295526000000002,-83.737558000000007
74,75,75,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2556.000000000000000,E- Pontiac north of Taylor,10,42.298037999999998,-83.736577999999994
75,76,76,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,1016.000000000000000,E- Pontiac Trl north of Starwick,11,42.301346000000002,-83.735365000000002
76,77,77,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,1017.000000000000000,E- Pontiac Trl north of Brookside,12,42.303885999999999,-83.734933999999996
77,78,78,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2616.000000000000000,E - Pontiac north of Manor,13,42.305567000000003,-83.734858000000003
78,79,79,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2417.000000000000000,E- Pontiac Trl at Arrowwood Trl,14,42.307980999999998,-83.734806000000006
79,80,80,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2586.000000000000000,E - Pontiac Trl n of Knightsbridge,15,42.314751000000001,-83.734196999999995
80,81,81,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2631.000000000000000,S - Dhu Varren E of Hunley,16,42.316189000000001,-83.732217000000006
81,82,82,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2558.000000000000000,S - Dhu Varren at Carrot Way,17,42.316453000000003,-83.727320000000006
82,83,83,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2557.000000000000000,N - Dhu Varren Foodgatherers,18,42.317273000000000,-83.727357999999995
83,84,84,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2533.000000000000000,S-Dhu Varren & Olmesaad,19,42.316909000000003,-83.717001999999994
84,85,85,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2564.000000000000000,S - Dhu Varren East at Foxridge Ct,20,42.317076000000000,-83.713130000000007
85,86,86,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2565.000000000000000,S - Dhu Varren at Nixon,21,42.317214000000000,-83.707806000000005
86,87,87,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,1490.000000000000000,W- Nixon Rd. opp Westbury Court,22,42.314011999999998,-83.707654000000005
87,88,88,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2635.000000000000000,N - Traver at Logan School,23,42.311625999999997,-83.709428000000003
88,89,89,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2636.000000000000000,N - Traver west of Lakehurst,24,42.311199999999999,-83.713092000000003
89,90,90,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2637.000000000000000,W - Teubingen south of Lancashire,25,42.309790999999997,-83.717246000000003
90,91,91,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2650.000000000000000,S- Huron Pkwy east of Traverwood,26,42.308061000000002,-83.713353999999995
91,92,92,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2651.000000000000000,S- Huron Pkwy west of Nixon,27,42.306538000000003,-83.710756000000003
92,93,93,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2217.000000000000000,W- Nixon Rd. btw Plymouth & Huro,28,42.303753999999998,-83.707355000000007
93,94,94,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2433.000000000000000,W- Huron Prkwy S of Plymouth,29,42.300809000000001,-83.704527999999996
94,95,95,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2409.000000000000000,N- Hubbard west of Huron Pkwy,30,42.295541999999998,-83.705320000000000
95,96,96,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2574.000000000000000,N- Hubbard at Hayward,31,42.295713999999997,-83.707187000000005
96,97,97,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2584.000000000000000,N - Hayward east of Draper,32,42.294168999999997,-83.709558000000001
97,98,98,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2411.000000000000000,W -  Beal south of Hayward,33,42.293635000000002,-83.712635000000006
98,99,99,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2431.000000000000000,N- Bonisteel W of Beal,34,42.290461999999998,-83.714093000000005
99,100,100,2011 August,1,Pontiac - Dhu Varren,0,From Downtown,2432.000000000000000,N - Bonisteel east of Murfin,35,42.290464999999998,-83.717718000000005
100,101,101,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2432.000000000000000,N - Bonisteel east of Murfin,1,42.290464999999998,-83.717718000000005
101,102,102,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2641.000000000000000,E - Murfin at Hubbard,2,42.294688000000001,-83.719029000000006
102,103,103,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2642.000000000000000,S- Hubbard op Cram Cir,3,42.294943000000004,-83.715036999999995
103,104,104,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2643.000000000000000,S- Hubbard opposite Beal,4,42.295647000000002,-83.712045000000003
104,105,105,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2644.000000000000000,W- Hubbard north of Hayward,5,42.295938000000000,-83.707723999999999
105,106,106,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1477.000000000000000,E- Huron Pkwy north of Hubbard,6,42.295594999999999,-83.704441000000003
106,107,107,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1478.000000000000000,E- Huron Pkwy south of Plymouth Rd.,7,42.300218000000001,-83.704077999999996
107,108,108,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1048.000000000000000,E- Nixon Rd. at Ply Mall/Traver V,8,42.304119999999998,-83.707147000000006
108,109,109,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2648.000000000000000,N- Huron Pkwy west of Nixon,9,42.306117000000000,-83.709706999999995
109,110,110,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2649.000000000000000,N- Huron Pkwy opposite Traverwood,10,42.308258000000002,-83.713317000000004
110,111,111,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2645.000000000000000,E- Teubingen at Lancashire,11,42.309843999999998,-83.717014000000006
111,112,112,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2646.000000000000000,S- Traver opposite Lakehurst,12,42.311154999999999,-83.712567000000007
112,113,113,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2647.000000000000000,S- Traver op Logan School,13,42.311447000000001,-83.709586999999999
113,114,114,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2435.000000000000000,E- Nixon N or Westbury,14,42.313940000000002,-83.707434000000006
114,115,115,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2419.000000000000000,E- Nixon at Green,15,42.316811000000001,-83.707490000000007
115,116,116,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2567.000000000000000,N - Dhu Varren south of Foxridge Ct,16,42.317219000000001,-83.713509000000002
116,117,117,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2536.000000000000000,N-Dhu Varren E of Omlesaad,17,42.317079000000000,-83.716952000000006
117,118,118,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2690.000000000000000,N - Dhu Varren at Birchwood,18,42.316930999999997,-83.720969999999994
118,119,119,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2689.000000000000000,N - Dhu Varren at Carrot Way,19,42.316614000000001,-83.727320000000006
119,120,120,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2557.000000000000000,N - Dhu Varren Foodgatherers,20,42.317273000000000,-83.727357999999995
120,121,121,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2587.000000000000000,N -Dhu Varren west of Hunley,21,42.316358999999999,-83.732118999999997
121,122,122,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2418.000000000000000,W- Pontiac S of Arrowwood,22,42.306272999999997,-83.735063999999994
122,123,123,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1020.000000000000000,W- Pontiac Trl north of Brookside,23,42.303922000000000,-83.735152999999997
123,124,124,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1021.000000000000000,W- Pontiac Trl opposite Starwick,24,42.301274999999997,-83.735608999999997
124,125,125,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1022.000000000000000,W- Pontiac Trl opposite Taylor Ave.,25,42.298012000000000,-83.736822000000004
125,126,126,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1023.000000000000000,W- Pontiac Trl south of Argo Dr.,26,42.294998999999997,-83.737986000000006
126,127,127,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1025.000000000000000,W- Pontiac Trl op Bowen,27,42.292003999999999,-83.739149999999995
127,128,128,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1026.000000000000000,N- Broadway St. west of Swift,28,42.288972999999999,-83.739801000000000
128,129,129,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1027.000000000000000,N- Beakes St. west of Summit St.,29,42.286901000000000,-83.743954000000002
129,130,130,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,1028.000000000000000,W- Fifth Ave. south of Kingsley,30,42.283799000000002,-83.746008000000003
130,131,131,2011 August,1,Pontiac - Dhu Varren,1,To Downtown,2016.000000000000000,Blake Transit Center,31,42.278421999999999,-83.747260999999995
131,132,132,2011 August,10,Ypsilanti-Northeast,0,Loop,988.100000000000023,YTC - 10/11,1,42.242268000000003,-83.615449999999996
132,133,133,2011 August,10,Ypsilanti-Northeast,0,Loop,1140.000000000000000,E- Adams St. at Washtenaw Ave.,2,42.243492000000003,-83.616000999999997
133,134,134,2011 August,10,Ypsilanti-Northeast,0,Loop,1832.000000000000000,S- Cross St. east of Huron,3,42.245795999999999,-83.613118000000000
134,135,135,2011 August,10,Ypsilanti-Northeast,0,Loop,1833.000000000000000,S- Cross St. west of River St,4,42.245921000000003,-83.609886000000003
135,136,136,2011 August,10,Ypsilanti-Northeast,0,Loop,1834.000000000000000,Cross St. at N. Park,5,42.245994000000003,-83.606171000000003
136,137,137,2011 August,10,Ypsilanti-Northeast,0,Loop,1835.000000000000000,Prospect opposite Maple,6,42.246898999999999,-83.602708000000007
137,138,138,2011 August,10,Ypsilanti-Northeast,0,Loop,1836.000000000000000,S- Forest Ave west of Vought,7,42.249741999999998,-83.601468999999994
138,139,139,2011 August,10,Ypsilanti-Northeast,0,Loop,1837.000000000000000,Forest Ave west of Campbell,8,42.249782000000003,-83.596608000000003
139,140,140,2011 August,10,Ypsilanti-Northeast,0,Loop,1838.000000000000000,S- Forest Ave at Hollis,9,42.249859999999998,-83.592152999999996
140,141,141,2011 August,10,Ypsilanti-Northeast,0,Loop,1839.000000000000000,S- Forest Ave east of Browning,10,42.249882999999997,-83.588093999999998
141,142,142,2011 August,10,Ypsilanti-Northeast,0,Loop,1840.000000000000000,S- Forest Ave at Harris,11,42.249940000000002,-83.583380000000005
142,143,143,2011 August,10,Ypsilanti-Northeast,0,Loop,1841.000000000000000,E- Ford Blvd. north of Forest,12,42.250287999999998,-83.580388999999997
143,144,144,2011 August,10,Ypsilanti-Northeast,0,Loop,1842.000000000000000,E- Ford Blvd. north of Holmes,13,42.254572000000003,-83.580492000000007
144,145,145,2011 August,10,Ypsilanti-Northeast,0,Loop,1843.000000000000000,Clark East Towers,14,42.256560999999998,-83.579380000000000
145,146,146,2011 August,10,Ypsilanti-Northeast,0,Loop,2346.000000000000000,N- Clark Rd. west of Dawn,15,42.259698000000000,-83.583477999999999
146,147,147,2011 August,10,Ypsilanti-Northeast,0,Loop,2347.000000000000000,N- Clark Rd. west of Devon St,16,42.260869000000000,-83.587754000000004
147,148,148,2011 August,10,Ypsilanti-Northeast,0,Loop,2618.000000000000000,N - Clark Rd east of Clark Dr,17,42.261265000000002,-83.590599999999995
148,149,149,2011 August,10,Ypsilanti-Northeast,0,Loop,1932.000000000000000,E- MacArthur Blvd. north of Clark,18,42.261467000000003,-83.594069000000005
149,150,150,2011 August,10,Ypsilanti-Northeast,0,Loop,1933.000000000000000,E- MacArthur Blvd. south of Heather,19,42.263862000000003,-83.592751000000007
150,151,151,2011 August,10,Ypsilanti-Northeast,0,Loop,1935.000000000000000,E- MacArthur Blvd. north of Deering,20,42.267102000000001,-83.588686999999993
151,152,152,2011 August,10,Ypsilanti-Northeast,0,Loop,2287.000000000000000,E- MacArthur Blvd north of Stamford,21,42.268422999999999,-83.586511999999999
152,153,153,2011 August,10,Ypsilanti-Northeast,0,Loop,2317.000000000000000,S- MacArthur Blvd. east of Harris,22,42.270133000000001,-83.583151000000001
153,154,154,2011 August,10,Ypsilanti-Northeast,0,Loop,2318.000000000000000,S- MacArthur Blvd. btw Harris & Wi,23,42.269725999999999,-83.580236999999997
154,155,155,2011 August,10,Ypsilanti-Northeast,0,Loop,1940.000000000000000,S- Wiard opposite Bazley,24,42.266348000000001,-83.573723000000001
155,156,156,2011 August,10,Ypsilanti-Northeast,0,Loop,2319.000000000000000,S- Wiard W of Russett,25,42.264592000000000,-83.570975000000004
156,157,157,2011 August,10,Ypsilanti-Northeast,0,Loop,2321.000000000000000,S- Wiard east of McIntosh Rd.,26,42.263545999999998,-83.569478000000004
157,158,158,2011 August,10,Ypsilanti-Northeast,0,Loop,2403.000000000000000,W- Wiard west side opp Woodruff,27,42.261631000000001,-83.566586999999998
158,159,159,2011 August,10,Ypsilanti-Northeast,0,Loop,1846.000000000000000,S- Clark Rd. at Ford Elementary,28,42.258009999999999,-83.562376999999998
159,160,160,2011 August,10,Ypsilanti-Northeast,0,Loop,1847.000000000000000,S- Clark Rd. at Ridge Rd.,29,42.258304000000003,-83.554079999999999
160,161,161,2011 August,10,Ypsilanti-Northeast,0,Loop,1848.000000000000000,W- Ridge Rd. at Holmes Rd.,30,42.254421000000001,-83.553954000000004
161,162,162,2011 August,10,Ypsilanti-Northeast,0,Loop,1849.000000000000000,N- Holmes Rd. opp West Circle,31,42.254086000000001,-83.560820000000007
162,163,163,2011 August,10,Ypsilanti-Northeast,0,Loop,1851.000000000000000,N- Holmes Rd. east of Wiard Rd,32,42.254029000000003,-83.563021000000006
163,164,164,2011 August,10,Ypsilanti-Northeast,0,Loop,2032.000000000000000,W- Spencer Ln south of Holmes,33,42.253619999999998,-83.568698999999995
164,165,165,2011 August,10,Ypsilanti-Northeast,0,Loop,2033.000000000000000,W- Spencer Ln at Michigan Ave,34,42.249352000000002,-83.568550999999999
165,166,166,2011 August,10,Ypsilanti-Northeast,0,Loop,2035.000000000000000,N- Michigan Ave. east of Lemay,35,42.247509000000001,-83.575092999999995
166,167,167,2011 August,10,Ypsilanti-Northeast,0,Loop,2546.000000000000000,N -E Michigan CVS Drug Store,36,42.245933999999998,-83.581686000000005
167,168,168,2011 August,10,Ypsilanti-Northeast,0,Loop,2036.000000000000000,N- Cross west of Harris,37,42.246372000000001,-83.583997999999994
168,169,169,2011 August,10,Ypsilanti-Northeast,0,Loop,2037.000000000000000,N- Cross St. East of Browning St,38,42.246312000000003,-83.587563000000003
169,170,170,2011 August,10,Ypsilanti-Northeast,0,Loop,2038.000000000000000,Cross St. at Bagley St,39,42.246254999999998,-83.593804000000006
170,171,171,2011 August,10,Ypsilanti-Northeast,0,Loop,2039.000000000000000,N- Cross St. at Osband St,40,42.246195999999998,-83.597533999999996
171,172,172,2011 August,10,Ypsilanti-Northeast,0,Loop,1862.000000000000000,N- Cross St. west of Prospect,41,42.246110999999999,-83.603133999999997
172,173,173,2011 August,10,Ypsilanti-Northeast,0,Loop,2379.000000000000000,N- Cross St. opp N. Park (at,42,42.246080999999997,-83.605952000000002
173,174,174,2011 August,10,Ypsilanti-Northeast,0,Loop,1863.000000000000000,N- Cross St. west of River St,43,42.246018999999997,-83.609077999999997
174,175,175,2011 August,10,Ypsilanti-Northeast,0,Loop,1864.000000000000000,N- Cross St. at Huron Street,44,42.245919000000001,-83.612819999999999
175,176,176,2011 August,10,Ypsilanti-Northeast,0,Loop,1865.000000000000000,W- Washington St. at Washtenaw Ave,45,42.243712000000002,-83.614653000000004
176,177,177,2011 August,10,Ypsilanti-Northeast,0,Loop,1000.000000000000000,YTC - EndPt,46,42.242303999999997,-83.615235999999996
177,178,178,2011 August,11,Ypsilanti-South,0,Loop,988.100000000000023,YTC - 10/11,1,42.242268000000003,-83.615449999999996
178,179,179,2011 August,11,Ypsilanti-South,0,Loop,1866.000000000000000,S- Michigan Ave. east of Huron,2,42.241022999999998,-83.612350000000006
179,180,180,2011 August,11,Ypsilanti-South,0,Loop,1867.000000000000000,S- Michigan Ave. east of River St.,3,42.241013000000002,-83.608362000000000
180,181,181,2011 August,11,Ypsilanti-South,0,Loop,1868.000000000000000,S- Michigan .btw Park St. & Grove,4,42.241022999999998,-83.605953000000000
181,182,182,2011 August,11,Ypsilanti-South,0,Loop,1870.000000000000000,W- Prospect south of Towner,5,42.238669999999999,-83.601992999999993
182,183,183,2011 August,11,Ypsilanti-South,0,Loop,1871.000000000000000,W- Prospect opp Davis St.,6,42.236369000000003,-83.601960000000005
183,184,184,2011 August,11,Ypsilanti-South,0,Loop,1896.000000000000000,W- Grove Rd. north of Tyler,7,42.232484999999997,-83.601748999999998
